               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1023,            0.049618,            0.073667,             0.40446,            0.072301,            0.010635,           0.0028517,            0.088838,            0.039241,            0.059547,            0.070341,           0.0032955,           0.0032955
                   1,            0.088833,            0.049674,             0.05579,             0.55742,            0.066899,            0.024042,           0.0064415,            0.084043,            0.035998,            0.048467,             0.04021,           0.0064975,           0.0064975
                   2,            0.085959,            0.048277,            0.045526,              0.5245,            0.098348,            0.050178,            0.014166,             0.08176,            0.036426,            0.040436,           0.0099464,           0.0095676,           0.0095676
                   3,            0.080399,            0.048203,            0.036462,             0.57092,             0.15824,             0.09091,            0.027353,            0.078057,            0.036334,            0.030915,            0.009406,            0.009406,            0.009406
                   4,            0.076075,            0.047756,             0.03126,             0.75437,             0.13529,             0.11944,            0.041113,            0.071271,            0.035657,            0.026898,            0.009406,            0.009406,            0.009406
                   5,            0.073533,            0.046627,            0.027793,             0.57907,             0.19049,             0.14684,            0.048866,            0.068922,            0.034182,            0.025388,            0.009208,            0.009208,            0.009208
                   6,            0.071565,            0.046716,             0.02533,             0.68143,             0.13969,             0.14391,             0.04894,            0.069184,            0.034909,            0.024471,             0.00901,             0.00901,             0.00901
                   7,            0.069822,             0.04564,            0.023205,             0.56702,              0.2093,             0.18818,            0.064983,            0.066409,            0.034069,            0.020305,            0.008812,            0.008812,            0.008812
                   8,            0.068412,            0.045328,            0.021532,              0.6201,             0.23758,             0.23795,            0.087555,            0.061831,            0.031924,            0.016892,            0.008614,            0.008614,            0.008614
                   9,             0.06659,            0.044634,            0.020323,             0.60263,             0.27796,             0.26967,             0.10334,            0.060001,            0.031968,            0.014888,            0.008416,            0.008416,            0.008416
                  10,            0.065544,            0.044571,            0.019344,             0.69954,              0.2703,             0.29159,             0.11587,            0.058082,            0.031755,             0.01426,            0.008218,            0.008218,            0.008218
                  11,            0.064151,            0.044164,            0.018285,             0.63577,             0.29231,             0.29721,             0.11608,            0.057961,            0.031498,            0.013416,             0.00802,             0.00802,             0.00802
                  12,            0.063894,            0.043804,            0.017738,             0.68236,             0.30773,             0.31226,               0.125,             0.05648,            0.030717,            0.013014,            0.007822,            0.007822,            0.007822
                  13,            0.062766,             0.04375,            0.016955,             0.73434,             0.30077,             0.33336,             0.12926,            0.056464,            0.030458,            0.011989,            0.007624,            0.007624,            0.007624
                  14,            0.062046,            0.043475,            0.016631,             0.69568,             0.31806,             0.33659,             0.13539,            0.055189,            0.029957,             0.01132,            0.007426,            0.007426,            0.007426
                  15,            0.061155,            0.042971,            0.015849,             0.66914,             0.33953,             0.36484,             0.14932,            0.054056,            0.029255,             0.01098,            0.007228,            0.007228,            0.007228
                  16,            0.060027,             0.04304,            0.015375,             0.69243,             0.34407,             0.37335,             0.15669,            0.052965,            0.029776,            0.011252,             0.00703,             0.00703,             0.00703
                  17,            0.059662,            0.042559,            0.015042,             0.73236,             0.34004,             0.38159,             0.16215,            0.052058,            0.029163,            0.010176,            0.006832,            0.006832,            0.006832
                  18,            0.059053,            0.042558,            0.014738,              0.7444,             0.35534,             0.38761,             0.16511,             0.05175,            0.029168,            0.010085,            0.006634,            0.006634,            0.006634
                  19,            0.058427,            0.042641,            0.014343,             0.67843,             0.39119,             0.42197,             0.18068,            0.050698,            0.028174,           0.0096417,            0.006436,            0.006436,            0.006436
