               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041117,            0.053476,           0.0029411,             0.93216,             0.85843,             0.92365,             0.53186,            0.033914,            0.034205,           0.0017087,            0.008845,            0.008845,            0.008845
                  37,            0.041037,            0.053301,           0.0029652,             0.92934,             0.86134,             0.92113,             0.53535,            0.033989,             0.03411,           0.0017599,            0.008812,            0.008812,            0.008812
                  38,             0.04109,            0.053444,           0.0028703,              0.9208,             0.86272,              0.9239,             0.53725,            0.033723,            0.033808,           0.0017259,            0.008779,            0.008779,            0.008779
                  39,            0.040783,            0.053166,            0.002892,             0.92524,             0.86965,             0.92792,             0.54619,            0.033391,            0.033575,           0.0016109,            0.008746,            0.008746,            0.008746
                  40,            0.040353,            0.052242,           0.0028806,             0.93275,              0.8724,             0.93249,             0.55117,             0.03311,            0.033144,           0.0016595,            0.008713,            0.008713,            0.008713
                  41,            0.040195,            0.052761,           0.0027586,             0.93009,             0.87175,             0.93381,             0.55159,            0.032553,            0.032987,           0.0016152,             0.00868,             0.00868,             0.00868
                  42,            0.039791,            0.052219,           0.0027367,             0.93503,             0.87473,             0.93659,             0.56309,            0.032504,            0.032618,           0.0016049,            0.008647,            0.008647,            0.008647
                  43,            0.039408,            0.051962,           0.0027135,             0.93583,             0.88302,             0.94057,             0.56239,             0.03207,            0.032525,           0.0015476,            0.008614,            0.008614,            0.008614
                  44,            0.039646,            0.052746,           0.0027267,             0.94195,             0.87968,             0.93978,             0.56298,            0.031904,            0.032791,           0.0015877,            0.008581,            0.008581,            0.008581
                  45,            0.039058,            0.051742,           0.0026722,             0.94086,             0.88632,             0.94335,             0.57361,            0.031772,             0.03196,           0.0015773,            0.008548,            0.008548,            0.008548
                  46,            0.039005,            0.051626,           0.0026264,             0.94315,             0.88065,             0.94162,             0.57651,            0.031612,            0.031934,             0.00153,            0.008515,            0.008515,            0.008515
                  47,            0.039361,            0.051845,           0.0027721,             0.94492,             0.89146,             0.94672,             0.57909,            0.031152,            0.031901,           0.0015131,            0.008482,            0.008482,            0.008482
                  48,            0.039398,            0.051874,           0.0026934,             0.94022,             0.88865,             0.94238,             0.57015,            0.031362,            0.032302,           0.0015146,            0.008449,            0.008449,            0.008449
                  49,            0.039173,            0.051523,           0.0027209,             0.94462,             0.89119,             0.94727,              0.5822,            0.030886,            0.031684,           0.0014774,            0.008416,            0.008416,            0.008416
                  50,            0.038723,            0.050953,           0.0026531,             0.94533,             0.89148,             0.94564,             0.58379,            0.030838,            0.031337,           0.0014685,            0.008383,            0.008383,            0.008383
                  51,            0.038755,            0.050753,           0.0027395,             0.94675,             0.89776,             0.94869,              0.5899,            0.030588,            0.031357,           0.0014606,             0.00835,             0.00835,             0.00835
                  52,            0.037684,            0.049442,           0.0025352,             0.94797,             0.89881,             0.94888,             0.59205,            0.030535,            0.031117,           0.0014589,            0.008317,            0.008317,            0.008317
                  53,            0.037516,            0.049167,           0.0024838,              0.9509,             0.90196,             0.95448,             0.60264,            0.029865,            0.030869,           0.0014362,            0.008284,            0.008284,            0.008284
                  54,            0.037405,            0.049428,           0.0024431,             0.95237,             0.90285,              0.9546,             0.60254,            0.029815,            0.030634,           0.0014297,            0.008251,            0.008251,            0.008251
                  55,            0.037487,            0.049722,           0.0025359,             0.94981,             0.90436,             0.95494,              0.6063,            0.029779,            0.030357,            0.001451,            0.008218,            0.008218,            0.008218
                  56,            0.037054,            0.049362,           0.0024797,             0.95023,               0.907,             0.95481,             0.61127,             0.02934,            0.030106,           0.0014139,            0.008185,            0.008185,            0.008185
                  57,            0.037162,            0.049387,           0.0024409,             0.95781,             0.90546,             0.95703,             0.60942,             0.02949,            0.030171,           0.0014049,            0.008152,            0.008152,            0.008152
                  58,            0.036948,            0.049687,           0.0024809,             0.95839,             0.90561,             0.95746,             0.61145,            0.029076,            0.029812,           0.0013659,            0.008119,            0.008119,            0.008119
                  59,            0.037036,            0.049043,           0.0024404,             0.95529,             0.91122,              0.9561,             0.61458,            0.029053,            0.029968,           0.0013699,            0.008086,            0.008086,            0.008086
                  60,            0.035796,            0.046654,           0.0022685,             0.95913,             0.91155,             0.96092,             0.62122,            0.028872,             0.02941,           0.0013874,            0.008053,            0.008053,            0.008053
                  61,            0.035266,            0.046107,           0.0022109,              0.9552,             0.91357,             0.95905,             0.62207,            0.028665,             0.02932,           0.0013561,             0.00802,             0.00802,             0.00802
                  62,            0.035331,            0.046514,           0.0021943,             0.95782,             0.91903,             0.96206,             0.62665,            0.028569,            0.029533,           0.0013794,            0.007987,            0.007987,            0.007987
                  63,            0.035426,            0.046729,           0.0022623,             0.95223,             0.91893,             0.96163,             0.62263,            0.028569,            0.029547,           0.0013636,            0.007954,            0.007954,            0.007954
                  64,            0.034287,            0.044277,           0.0021177,             0.95601,              0.9231,             0.96348,             0.62427,            0.028546,            0.029202,           0.0013774,            0.007921,            0.007921,            0.007921
                  65,            0.034008,            0.043832,           0.0020557,             0.95944,              0.9236,             0.96406,             0.62738,            0.028456,            0.029198,           0.0013871,            0.007888,            0.007888,            0.007888
